,title,price,bedrooms,link,area,furnished,log_price,log_bedrooms,link,latitude,longitude,address,rent_period,pets_cat,pets_dog,laundry,parking,no_smoking,air_conditioning
84,"2bd 1.5ba, wood plank inspired flooring, community playground",2478,2.0,https://washingtondc.craigslist.org/nva/apa/d/fairfax-2bd-15ba-wood-plank-inspired/7824781916.html,missing,missing,7.815207062189088,0.6931471805599453,,,,,,,,,,,
85,apartment basement 1400 sqft,1300,,https://washingtondc.craigslist.org/nva/apa/d/dumfries-apartment-basement-1400-sqft/7825308148.html,missing,missing,7.170119543449628,,,,,,,,,,,,
86,"dog park, walk-in closets, playground",2125,,https://washingtondc.craigslist.org/nva/apa/d/alexandria-dog-park-walk-in-closets/7825313556.html,missing,missing,7.661527081358517,,,,,,,,,,,,
87,"ceramic tile flooring, ample parking, 2 bedroom",2184,2.0,https://washingtondc.craigslist.org/nva/apa/d/alexandria-ceramic-tile-flooring-ample/7824178497.html,missing,missing,7.688913336864796,0.6931471805599453,,,,,,,,,,,
88,spacious 2 bed apartment - 2 month free & reduced rent @ tgm ridge,2099,2.0,https://washingtondc.craigslist.org/nva/apa/d/manassas-spacious-bed-apartment-month/7825311632.html,missing,missing,7.649216319820633,0.6931471805599453,,,,,,,,,,,
89,reduced rent at tgm ridge – select floorplans!,1999,,https://washingtondc.craigslist.org/nva/apa/d/manassas-reduced-rent-at-tgm-ridge/7825311538.html,missing,missing,7.6004023345004,,,,,,,,,,,,
90,simply the best value in tysons!,1329,,https://washingtondc.craigslist.org/nva/apa/d/mc-lean-simply-the-best-value-in-tysons/7823432460.html,missing,missing,7.192182058713246,,,,,,,,,,,,
91,welcoming lobby and wall to wall carpet,1806,,https://washingtondc.craigslist.org/nva/apa/d/falls-church-welcoming-lobby-and-wall/7821601437.html,missing,missing,7.498869733976931,,,,,,,,,,,,
92,"3 bedroom, 3 bathroom convenient location 2 level town home",2450,3.0,https://washingtondc.craigslist.org/nva/apa/d/reston-bedroom-bathroom-convenient/7825310477.html,missing,missing,7.803843303538772,1.0986122886681098,,,,,,,,,,,
93,$300 off 1st month's rent! 1bedroom with great amenities!!,2010,1.0,https://washingtondc.craigslist.org/nva/apa/d/mc-lean-300-off-1st-months-rent/7818832169.html,missing,missing,7.605890001053122,0.0,,,,,,,,,,,
94,$300 off 1st month's rent! 2br/2ba only $2620/mo! best value in tysons,2620,2.0,https://washingtondc.craigslist.org/nva/apa/d/mc-lean-300-off-1st-months-rent-2br-2ba/7824767612.html,tysons,missing,7.8709295967551425,0.6931471805599453,,,,,,,,,,,
95,now leasing new apartment homes,2931,,https://washingtondc.craigslist.org/nva/apa/d/manassas-now-leasing-new-apartment-homes/7825307663.html,missing,missing,7.983098940710892,,,,,,,,,,,,
96,"private apt, furnished, ground level, in fairfax for rent",1200,,https://washingtondc.craigslist.org/nva/apa/d/fairfax-private-apt-furnished-ground/7825307609.html,fairfax,missing,7.090076835776092,,,,,,,,,,,,
97,"private apt, furnished, in fairfax for rent",1200,,https://washingtondc.craigslist.org/nva/apa/d/fairfax-private-apt-furnished-in/7825307278.html,fairfax,missing,7.090076835776092,,,,,,,,,,,,
98,condo with unbeatable metro access,1300,,https://washingtondc.craigslist.org/nva/apa/d/arlington-condo-with-unbeatable-metro/7817919291.html,missing,missing,7.170119543449628,,,,,,,,,,,,
99,tailored for pet lovers! 1 bed/1 bath in our pet-friendly community.,1634,1.0,https://washingtondc.craigslist.org/nva/apa/d/woodbridge-tailored-for-pet-lovers-bed/7823102845.html,missing,missing,7.3987862754199485,0.0,,,,,,,,,,,
100,"enough living space for all your needs. 2 bed, 2 bath. check us out!",1470,2.0,https://washingtondc.craigslist.org/nva/apa/d/woodbridge-enough-living-space-for-all/7824181767.html,missing,missing,7.293017679772782,0.6931471805599453,,,,,,,,,,,
